sku,venta_estimada_m0,venta_estimada_m1,venta_estimada_m2,venta_estimada_m3,venta_estimada_m4
DREAMERTWO,1600,1600,1600,1600,1600
KHCESPMG,1500,1500,1500,1500,1500
KING3000,600,600,600,600,600
KHCESPIB,1560,1560,1560,1560,1560
DREAMERONE,1200,1200,1200,1200,1200
RUMG40,1100,1100,1100,1100,1100
COUPLEDREAMER,550,550,550,550,550
EX-1BNW,200,200,200,200,200
KHCESPIG,1200,1200,1200,1200,1200
56677-BEST,850,850,850,850,850
KHCESPMB,800,800,800,800,800
EX-1B,180,180,180,180,180
CENEVO1,530,530,530,530,530
BATH-VA1-BLA,530,530,530,530,530
RUMG30,700,700,700,700,700
RUM30,670,670,670,670,670
153812,1200,1200,1200,1200,1200
LIV-GARDEN4-NEG,350,350,350,350,350
LIV-GARDEN4-MAR,350,350,350,350,350
EBIKE350-B,150,150,150,150,150
RUM40,550,550,550,550,550
KINGDREAMER,200,200,200,200,200
HIDROKING2000,600,600,600,600,600
SINGLEDREAMER,350,350,350,350,350
KINGCEM5,230,230,230,230,230
QUEENDREAMER,170,170,170,170,170
CP3DREAM135,400,400,400,400,400
BATH-VA1-MAD,280,280,280,280,280
KHSPRING1B,420,420,420,420,420
KINGCEP2,180,180,180,180,180
KH4PLSR,180,180,180,180,180
DRESMULTI4-BLA,210,210,210,210,210
DRESMULTI4-CAO,210,210,210,210,210
KINGDIPLA400,500,500,500,500,500
CENEVO4,200,200,200,200,200
KIND5200,400,400,400,400,400
KHSPRING2B,310,310,310,310,310
KHCESP12MB,320,320,320,320,320
KHSOFABEDGC,220,220,220,220,220
DNG-GLAZI6-NEG,100,100,100,100,100
CP3DREAM100,400,400,400,400,400
SH18-BLA,320,320,320,320,320
SH18-MAD,320,320,320,320,320
DUOSPRING20,150,150,150,150,150
KHCESP12SB,400,400,400,400,400
CP3DREAM80,420,420,420,420,420
KHSOFARG,120,120,120,120,120
KH3PLBB,100,100,100,100,100
KH3PLBBL,100,100,100,100,100
KH3PLGB,100,100,100,100,100
KH3PLGBL,100,100,100,100,100
ETRAIL-6G,45,45,45,45,45
ETRAIL-6B,45,45,45,45,45
HIDROKING2200RC,250,250,250,250,250
KINGCEB3,119,119,119,119,119
KHSOFARB,110,110,110,110,110
