yearmonth,SKU,net_sales,items_sold,avg_pvp,channel,brand,brand_type,sku_name,category,grossmargin,full%
202501,000A-URR,0.01,1,0.01,"Salderos / Facebook",Urrea,terceros,"Calibrador En Pulgadas 9 Hojas Urrea",Ferretería,-5969,NULL
202502,00105101BZ00-MEN,3792.24,1,4399,Team_MercadoLibre,Mendoza,terceros,"Rifle Rm-10 Barniz Cal.5.5 + Mira 4x20 Mendoza",Deportes,0.4289522815011707,0
202503,0601063T01-BOS,14927.12,2,8657.73,Team_MercadoLibre,Bosch,terceros,"Nivel Laser Lineas Verde 360 Grados 30 M Gll 3-80 Cg Bosch",Ferretería,0.14251643987587695,0
202502,0601072T00-BOS,2881.55,1,3342.6,Team_Sitioweb,Bosch,terceros,"Medidor láser Bosch GLM 50-27 C, 50 metros, con Bluetooth 060107",Ferretería,0.005660148184136991,NULL
202501,0601072W00-BOS,4095.03,4,1187.555,Team_MercadoLibre,Bosch,terceros,"Medidor GLM 25-23 25mts Bosch",Ferretería,0.2130069865178033,0
202502,06013960G1-BOS,862.07,1,1000,"Salderos / Facebook",Bosch,terceros,"Esmeriladora Amoladora Angular 900w Gws 9-125 Bosch",Ferretería,-0.28634565638521237,NULL
202503,06013960G1-BOS,860,1,997.6,"Salderos / Facebook",Bosch,terceros,"Esmeriladora Amoladora Angular 900w Gws 9-125 Bosch",Ferretería,-0.2894418604651164,NULL
202506,06013960G1-BOS,1293.1,1,1500,"Salderos / Facebook",Bosch,terceros,"Esmeriladora Amoladora Angular 900w Gws 9-125 Bosch",Ferretería,0.14243291315443496,NULL
202501,06013961G0-BOS,23763.87,17,1621.5311764705887,Team_MercadoLibre,Bosch,terceros,"Esmeriladora Amoladora Angular 900w Gws 9-125 S Bosch",Ferretería,0.13596691111338344,0
202502,06013961G0-BOS,1385.34,1,1606.99,Team_MercadoLibre,Bosch,terceros,"Esmeriladora Amoladora Angular 900w Gws 9-125 S Bosch",Ferretería,0.1281562648880419,0
202503,06013961G0-BOS,1481.9,1,1719,Team_MercadoLibre,Bosch,terceros,"Esmeriladora Amoladora Angular 900w Gws 9-125 S Bosch",Ferretería,0.18496524731763284,0
202504,06019F40G2-BOS,2998.28,2,1739,Team_Amazon,Bosch,terceros,"Taladro Atornillador Inalámbrico Bosch GSR 1000 Smart 12V maletí",Ferretería,0.4181930973758288,NULL
202503,06019G5225-BOS,1145.94,1,1329.29,Team_PdVNAES,Bosch,terceros,"Taladro Atornillador Inalambrico Mandril 2en1 1/4 1/2 Bosch",Ferretería,-0.6835349145679529,NULL
202502,06019G80G1-BOS,2585.34,2,1499.5,Team_MercadoLibre,Bosch,terceros,"Atornillador Taladro Inalámbrico Batería 12V Bosch GSR120-Li",Ferretería,0.24681473229826642,0
202503,06019G80G1-BOS,2546.12,2,1476.75,Team_MercadoLibre,Bosch,terceros,"Atornillador Taladro Inalámbrico Batería 12V Bosch GSR120-Li",Ferretería,0.23521279436947204,0
202506,06019G80G1-BOS,5058.25,4,1466.895,Team_MercadoLibre,Bosch,terceros,"Atornillador Taladro Inalámbrico Batería 12V Bosch GSR120-Li",Ferretería,0.23007364206988581,0
202506,06019G80G1-BOS,1137.07,1,1319,Team_Sitioweb,Bosch,terceros,"Atornillador Taladro Inalámbrico Batería 12V Bosch GSR120-Li",Ferretería,0.14374664708417242,NULL
202504,06019G81E4-BOS,732.75,1,849.99,"Salderos / Facebook",Bosch,terceros,"Taladro Rotomartillo Atornillador Impacto Sin Bateria Bosch",Ferretería,0.040054588877516235,NULL
202505,06019H51G0-BOS,2757.76,1,3199,Team_Amazon,Bosch,terceros,"Taladro Rotomartillo 1/2in 2 Vel + 2 Baterías Cargador Bosch",Ferretería,-0.015070201902993713,NULL
202502,0601B371G0-BOS,2565.24,1,2975.68,Team_MercadoLibre,Bosch,terceros,"Cortadora Metales Profesional 14in Tronzadora Sierra Bosch",Ferretería,0.20084670440192726,0
202503,0601B371G0-BOS,10260.96,4,2975.68,Team_MercadoLibre,Bosch,terceros,"Cortadora Metales Profesional 14in Tronzadora Sierra Bosch",Ferretería,0.20084670440192726,0
202504,0601B371G0-BOS,1724.14,1,2000,"Salderos / Facebook",Bosch,terceros,"Cortadora Metales Profesional 14in Tronzadora Sierra Bosch",Ferretería,-0.1890101731877921,NULL
202501,0615A001K5-BOS,11027.600000000002,8,1599,Team_Amazon,Bosch,terceros,"Bateria Starter 12V Ion Litio 2 Piezas Cargador Bivolt Bosch",Ferretería,0.4187094200007254,NULL
202501,0615A001K5-BOS,7214.13,7,1195.4799999999998,Team_MercadoLibre,Bosch,terceros,"Bateria Starter 12V Ion Litio 2 Piezas Cargador Bivolt Bosch",Ferretería,0.2225036144344501,0
202501,0615A001K5-BOS,3444.8275862068967,4,899,Team_Walmart,Bosch,terceros,"Bateria Starter 12V Ion Litio 2 Piezas Cargador Bivolt Bosch",Ferretería,0.06958478478478487,NULL
202502,0615A001K5-BOS,1378.45,1,1599,Team_Amazon,Bosch,terceros,"Bateria Starter 12V Ion Litio 2 Piezas Cargador Bivolt Bosch",Ferretería,0.4187094200007255,NULL
202502,0615A001K5-BOS,2061.18,2,1195.48,Team_MercadoLibre,Bosch,terceros,"Bateria Starter 12V Ion Litio 2 Piezas Cargador Bivolt Bosch",Ferretería,0.22250361443445013,0
202502,0615A001K5-BOS,8612.068965517245,10,899,Team_Walmart,Bosch,terceros,"Bateria Starter 12V Ion Litio 2 Piezas Cargador Bivolt Bosch",Ferretería,0.06958478478478484,NULL
202503,0615A001K5-BOS,1378.45,1,1599,Team_Amazon,Bosch,terceros,"Bateria Starter 12V Ion Litio 2 Piezas Cargador Bivolt Bosch",Ferretería,0.4187094200007255,NULL
202503,0615A001K5-BOS,11891.4,10,1379.4,Team_MercadoLibre,Bosch,terceros,"Bateria Starter 12V Ion Litio 2 Piezas Cargador Bivolt Bosch",Ferretería,0.3261684915148764,0
202504,0615A001K5-BOS,16534.482758620692,20,849,Team_Walmart,Bosch,terceros,"Bateria Starter 12V Ion Litio 2 Piezas Cargador Bivolt Bosch",Ferretería,0.030777059436913543,NULL
202502,0652217319748-HART,603.45,1,700,"Salderos / Facebook",Hartplas,terceros,"Hielera Hartplas Izta Capacidad 9 Qt 8.5 Litros",Deportes,0.4687712320821941,NULL
202505,0652217319748-HART,344.82,1,399.99,"Salderos / Facebook",Hartplas,terceros,"Hielera Hartplas Izta Capacidad 9 Qt 8.5 Litros",Deportes,0.07032654718403805,NULL
202506,0652217319748-HART,687.94,2,399.01,Team_PdVNAES,Hartplas,terceros,"Hielera Hartplas Izta Capacidad 9 Qt 8.5 Litros",Deportes,0.06802918859202847,NULL
202502,0652217319749-HART,603.45,1,700,"Salderos / Facebook",Hartplas,terceros,"Hielera Hartplas Izta Capacidad 9 Qt 8.5 Litros",Deportes,0.4687712320821941,NULL
202501,0652217319750-HART,518.28,1,601.2,Team_MercadoLibre,Hartplas,terceros,"Hielera Hartplas Izta Capacidad 9 Qt 8.5 Litros",Deportes,0.3814733348769005,0
202502,0652217319750-HART,2073.12,4,601.2,Team_MercadoLibre,Hartplas,terceros,"Hielera Hartplas Izta Capacidad 9 Qt 8.5 Litros",Deportes,0.3814733348769005,0
202504,0652217319750-HART,344.83,1,400,"Salderos / Facebook",Hartplas,terceros,"Hielera Hartplas Izta Capacidad 9 Qt 8.5 Litros",Deportes,0.07035350752544729,NULL
202501,0652217342963-HART,517.24,1,600,"Salderos / Facebook",Hartplas,terceros,"Hielera Hartplas Everest Capacidad 52 Qt 49.2 Litros",Deportes,-0.7299899466398577,NULL
202502,0652217371925-HART,1206.9,2,700,"Salderos / Facebook",Hartplas,terceros,"Hielera Hartplas Everest Capacidad 52 Qt 49.2 Litros",Deportes,-0.4828403347419007,NULL
202505,0652217376173-HART,938.79,1,1089,Team_PdVNAES,Hartplas,terceros,"Hielera Hartplas Everest Capacidad 52 Qt 49.2 Litros",Deportes,0.04683688577850202,NULL
202502,0652217485905-HART,436,1,505.76,"Salderos / Facebook",Hartplas,terceros,"Hielera Hartplas Orizaba Capacidad 13 Qt 12.3 Litros",Deportes,0.04669724770642205,NULL
202503,0652217485905-HART,671.85,1,779.35,Team_MercadoLibre,Hartplas,terceros,"Hielera Hartplas Orizaba Capacidad 13 Qt 12.3 Litros",Deportes,0.38135000372106875,0
202504,0652217485905-HART,857.91,1,995.18,Team_MercadoLibre,Hartplas,terceros,"Hielera Hartplas Orizaba Capacidad 13 Qt 12.3 Litros",Deportes,0.5155202760196291,0
202504,0652217485905-HART,430.17,1,499,Team_PdVNAES,Hartplas,terceros,"Hielera Hartplas Orizaba Capacidad 13 Qt 12.3 Litros",Deportes,0.03377734384080719,NULL
202505,0652217485905-HART,3532.61,5,819.564,Team_MercadoLibre,Hartplas,terceros,"Hielera Hartplas Orizaba Capacidad 13 Qt 12.3 Litros",Deportes,0.41170975567639784,0
202501,0652217507799-HART,2687.4,4,779.35,Team_MercadoLibre,Hartplas,terceros,"Hielera Hartplas Orizaba Capacidad 13 Qt 12.3 Litros",Deportes,0.38135000372106875,0
202502,0652217507799-HART,1343.7,2,779.35,Team_MercadoLibre,Hartplas,terceros,"Hielera Hartplas Orizaba Capacidad 13 Qt 12.3 Litros",Deportes,0.38135000372106875,0
202505,0652217507799-HART,344.82,1,399.99,"Salderos / Facebook",Hartplas,terceros,"Hielera Hartplas Orizaba Capacidad 13 Qt 12.3 Litros",Deportes,-0.2053825184154051,NULL
202501,0652217510010-HART,2015.5500000000002,3,779.35,Team_MercadoLibre,Hartplas,terceros,"Hielera Hartplas Orizaba Capacidad 13 Qt 12.3 Litros",Deportes,0.3813500037210687,0
202502,0652217510010-HART,671.85,1,779.35,Team_MercadoLibre,Hartplas,terceros,"Hielera Hartplas Orizaba Capacidad 13 Qt 12.3 Litros",Deportes,0.38135000372106875,0
202503,0652217510010-HART,1343.7,2,779.35,Team_MercadoLibre,Hartplas,terceros,"Hielera Hartplas Orizaba Capacidad 13 Qt 12.3 Litros",Deportes,0.38135000372106875,0
202506,0652217510010-HART,343.97,1,399.01,Team_PdVNAES,Hartplas,terceros,"Hielera Hartplas Orizaba Capacidad 13 Qt 12.3 Litros",Deportes,-0.2083611942901996,NULL
202501,0652217922073-HART,8695.68,7,1441,Team_MercadoLibre,Hartplas,terceros,"Hielera Hartplas Everest Capacidad 52 Qt 49.2 Litros",Deportes,0.27967220504894386,0
