sku,sku_name,brand,buyer,category,objetivo_mensual_gmv,stock_actual
DREAMERTWO,Colchon en Caja BÃ¡sico Matrimonial 135x190 DreamerTwo ColorDreams,bla,gris,Colchones,4152000,1912
KHCESPMG,Colchon Matrimonial En Caja 15cm Alto KingsHouse,bla,gris,Colchones,3298500,1168
KING3000,Generador Portatil a Gasolina 3000w 7.5 H.P 110v/220v KING3000 Kingsman,cri,gris,FerreterÃ­a,2489400,331
KHCESPIB,Colchon Individual En Caja 15cm Alto KingsHouse,cri,blue,Colchones,2463240,961
DREAMERONE,Colchon en Caja BÃ¡sico Individual 100x190 DreamerOne ColorDreams,bla,gris,Colchones,2338800,2176
RUMG40,Set de 4 Maletas RigÃ­das ABS Rumbo,bla,gris,Equipaje y bolsas,2308900,773
COUPLEDREAMER,Colchon en Caja Premium Matrimonial 135x190 CoupleDreamer ColorDreams,bla,gris,Colchones,2171950,314
EX-1BNW,Bicicleta ElÃ©ctrica Con Canastilla Delantera Bocina Luz y SeÃ±ales Intermitentes,bla,gris,Deportes,1899800,299
KHCESPIG,Colchon Individual En Caja 15cm Alto KingsHouse,bla,gris,Colchones,1894800,536
56677-BEST,Alberca Estructural Redonda Steel Pro 305cm Familiar Bestway,bla,gris,JardÃ­n,1869150,301
KHCESPMB,Colchon Matrimonial En Caja 15cm Alto KingsHouse,bla,gris,Colchones,1759200,763
EX-1B,Bicicleta ElÃ©ctrica Con Canastilla Delantera Bocina Luz y SeÃ±ales Intermitentes,bla,gris,Deportes,1709820,225
CENEVO1,Caminadora Electrica Portatil Nevo 1 HP,bla,gris,Deportes,1589470,962
BATH-VA1-BLA,Mueble Kit Para BaÃ±o Gabinete Organizador Lavamano Monomando,bla,gris,Muebles,1430470,316
RUMG30,Juego 3 Maletas de Viaje Rigidas Ruedas,bla,gris,Equipaje y bolsas,1329300,806
RUM30,Set de 3 Maletas RigÃ­das ABS Negro,bla,gris,Equipaje y bolsas,1272330,397
153812,Hielera 48 Qt O 45 Lit Azul Con Asas Tapa Enfriador Coleman,bla,gris,JardÃ­n,1249200,995
LIV-GARDEN4-MAR,Sala Para Exterior Rattan Con Cojines Garden,bla,gris,Muebles,1207150,264
LIV-GARDEN4-NEG,Sala Para Exterior Rattan Con Cojines Garden,bla,gris,Muebles,1207150,538
EBIKE350-B,Bicicleta ElÃ©ctrica con canastilla delantera baterÃ­a 350W,bla,gris,Deportes,1184850,24
RUM40,Set de 4 Maletas RigÃ­das ABS Rumbo,bla,gris,Equipaje y bolsas,1154450,31
KINGDREAMER,Colchon en Caja Premium King 200x190 KingDreamer ColorDreams,bla,gris,Colchones,1119800,241
HIDROKING2000,Hidrolavadora ElÃ©ctrica Portatil 2000 Psi 1600w + Accesorios,bla,gris,FerreterÃ­a,1019400,1597
SINGLEDREAMER,Colchon en Caja Premium Individual 100x190 SingleDreamer ColorDreams,bla,gris,Colchones,1014650,410
KINGCEM5,Caminadora Electrica Monitor KingSports,bla,gris,Deportes,965770,0
QUEENDREAMER,Colchon Queen Size En Caja Memory 150x190x23 Cm Colordreams,bla,gris,Colchones,849830,415
CP3DREAM135,Colchon plegable en 3 partes 135cm COLORDREAMS,bla,gris,Colchones,759600,357
BATH-VA1-MAD,Mueble Gabinete Para BaÃ±o Con Ovalin y Monomando Caja 2,bla,gris,Muebles,755720,460
KHSPRING1B,Colchon 16cm resortes Individual Blanco,bla,gris,Colchones,755580,425
KINGCEP2,Caminadora Electrica Plegable Color Negro Kingsports,bla,gris,Deportes,719820,2
KH4PLSR,Sala para Exteriores Jardin de Mimbre Negro Cojines Beige,bla,gris,Muebles,701820,305
DRESMULTI4-BLA,Mueble Armario Ropero Closet Multiusos 4 Puertas Mdp,bla,gris,Muebles,671790,400
DRESMULTI4-CAO,Mueble Armario Ropero Closet Multiusos 4 Puertas Mdp,bla,gris,Muebles,671790,352
KINGDIPLA400,Diablito Carga Plataforma Rueda Neumatica 400kg Diablo Acero,bla,gris,FerreterÃ­a,661500,343
CENEVO4,Caminadora Electrica Portatil Plegable Nevo 1.3 HP,bla,gris,Deportes,659800,140
KIND5200,Desbrozadora Desmalezadora 52cc Motor 2 tiempos 2.5 HP + Carrete Hilo Amarillo KIND5200 Kingsman,bla,gris,FerreterÃ­a,659600,82
KHSPRING2B,Colchon 16cm resortes Matrimonial Blanco,bla,gris,Colchones,650690,225
KHCESP12MB,ColchÃ³n Colchoneta Matrimonial En Caja Espuma Memory Foam,bla,gris,Colchones,639680,336
KHSOFABEDGC,Sofa Cama Contemporaneo KingsHouse,bla,gris,Muebles,626780,73
DNG-GLAZI6-NEG,Juego De Comedor Mesa Con 6 Sillas Glazia Caja 1,bla,gris,Muebles,619900,65
CP3DREAM100,Colchon plegable en 3 partes 100cm COLORDREAMS,bla,gris,Colchones,619600,834
SH18-MAD,Mueble Zapatero MDP Para 18 Pares,bla,gris,Muebles,591680,99
SH18-BLA,Mueble Zapatero MDP Para 18 Pares,bla,gris,Muebles,591680,355
DUOSPRING20,Colchon 20cm resortes pocket coil Matrimonial Spring Series ColorDreams,bla,gris,Colchones,569850,444
KHCESP12SB,ColchÃ³n Colchoneta Individual En Caja 80x190 Espuma Memory,bla,gris,Colchones,559600,297
CP3DREAM80,Colchon plegable en 3 partes 80cm COLORDREAMS,bla,gris,Colchones,545580,509
KHSOFARG,Sillon Reclinable Contemporaneo,bla,gris,Muebles,539880,104
