purchase_order_id,purchase_order_date,supplier_code_id,sku,sku_name,brand,tracking_date,quantity,unit_price,status,date_of_arrival,ata,delivery_status
PO,"FECHA
PO",PROVEEDOR,ITEM,DESCRIPCIÓN,MARCA,Fecha carga tracking,QTY,PU,STATUS,"CEDIS 
APROXIMADA",FECHA CEDIS,STATUS ENTREGA
P07286,2025-05-30,INTLH5Q5,BUR-MAPLE3-MAD,Comoda buro con 2 puertas grande maple,Kingshouse,11/06/25,77,58,Tránsito,2025-08-06,2025-08-01,TBC
P07286,2025-05-30,INTLH5Q5,BUR-MAPLE1-MAD,Comoda buro con 2 puertas chico maple,Kingshouse,11/06/25,88,24,Tránsito,2025-08-06,2025-08-01,TBC
P07286,2025-05-30,INTLH5Q5,BUR-MAPLE2-MAD,Comoda buro con 2 puertas mediano maple,Kingshouse,2025-06-11,50,34,Tránsito,2025-08-06,2025-08-01,TBC
P07286,2025-05-30,INTLH5Q5,TABL-CLARA1-MAD,Mesa comoda con 1 puerta y 1 repisa mediana clara,Kingshouse,11/06/25,3,26,Tránsito,2025-08-06,2025-08-01,TBC
P07286,2025-05-30,INTLH5Q5,TABL-MONTAN3-MAD,Mesa comoda con bandeja desplegable y compartimientos mediana montana,Kingshouse,2025-06-11,100,30,Tránsito,2025-08-06,2025-08-01,TBC
P07286,2025-05-30,INTLH5Q5,TABL-MONTAN1-NEG,Mesa comoda para tv con 1 puerta y 2 cajones grande montana,Kingshouse,11/06/25,100,35,Tránsito,2025-08-06,2025-08-01,TBC
P07286,2025-05-30,INTLH5Q5,SHMTN1-NEG,Mueble Zapatero Con 3 Cajones Mediano Montana,Kingshouse,11/06/25,100,19,Tránsito,2025-08-06,2025-08-01,TBC
P07286,2025-05-30,INTLH5Q5,SH4-BLA,Mueble Zapatero Con 4 Cajones Mediano,Kingshouse,11/06/25,100,23,Tránsito,2025-08-06,2025-08-01,TBC
P07286,2025-05-30,INTLH5Q5,SHMTN2-MAD,Mueble Zapatero Con 3 Cajones Mediano Montana,Kingshouse,2025-06-11,100,21,Tránsito,2025-08-06,2025-08-01,TBC
P07286,2025-05-30,INTLH5Q5,SH3-BLA,Mueble Zapatero Con 3 Cajones Mediano,Kingshouse,2025-06-11,100,16,Tránsito,2025-08-06,2025-08-01,TBC
P07286,2025-05-30,INTLH5Q5,SHMTN3-MAD,Mueble Zapatero Banco Con 1 Compartimiento Chico Montana,Kingshouse,2025-06-11,100,16,Tránsito,2025-08-06,2025-08-01,TBC
P07286,2025-05-30,INTLH5Q5,SHMTN4-MAD,Mueble Zapatero Banco Con 2 Compartimientos Chico Montana,Kingshouse,11/06/25,100,19,Tránsito,2025-08-06,2025-08-01,TBC
P07204,2025-04-22,INTL8JW1,KINGDREAMER,Colchon en Caja Premium King 200x190 KingDreamer ColorDreams,ColorDreams,2025-04-22,297,89,Tránsito,2025-07-11,2025-07-17,TBC
P07205,2025-04-22,INTL8JW1,DREAMERONE,Colchon en Caja Básico Individual 100x190 DreamerOne ColorDreams,ColorDreams,22/04/25,792,31,Tránsito,2025-07-11,2025-07-15,TBC
P07206,2025-04-22,INTL8JW1,SINGLEDREAMER,Colchon en Caja Premium Individual 100x190 SingleDreamer ColorDreams,ColorDreams,2025-04-22,158,48,Tránsito,2025-07-11,2025-07-15,TBC
P07206,2025-04-22,INTL8JW1,QUEENDREAMER,Colchon Queen Size En Caja Memory 150x190x23 Cm Colordreams,ColorDreams,2025-04-22,270,68,Tránsito,2025-07-11,2025-07-15,TBC
P07206,2025-04-22,INTL8JW1,DREAMERTWO,Colchon en Caja Básico Matrimonial 135x190 DreamerTwo ColorDreams,ColorDreams,2025-04-22,12,42,Tránsito,2025-07-11,2025-07-15,TBC
P07206,2025-04-22,INTL8JW1,KHCESP12IB,Colchoneta Colchón Individual Caja 8cm Memory Foam Espuma,KingsHouse,2025-04-22,53,21,Tránsito,2025-07-11,2025-07-15,TBC
P07207,2025-04-22,INTL8JW1,DREAMERTWO,Colchon en Caja Básico Matrimonial 135x190 DreamerTwo ColorDreams,ColorDreams,22/04/25,520,42,Tránsito,2025-07-11,2025-07-17,TBC
P07207,2025-04-22,INTL8JW1,KHCESPMB,Colchon Matrimonial En Caja 15cm Alto KingsHouse,KingsHouse,2025-04-22,5,33,Tránsito,2025-07-11,2025-07-17,TBC
P07208,2025-04-22,INTL8JW1,KHCESPMB,Colchon Matrimonial En Caja 15cm Alto KingsHouse,KingsHouse,22/04/25,605,33,Tránsito,2025-07-11,2025-07-17,TBC
P07208,2025-04-22,INTL8JW1,KHCESP12SB,Colchón Colchoneta Individual En Caja 80x190 Espuma Memory,KingsHouse,2025-04-22,160,18,Tránsito,2025-07-11,2025-07-17,TBC
P07209,2025-04-22,INTL8JW1,KHCESP12SB,Colchón Colchoneta Individual En Caja 80x190 Espuma Memory,KingsHouse,22/04/25,190,18,Tránsito,2025-07-11,2025-07-17,TBC
P07209,2025-04-22,INTL8JW1,KHCESP12IB,Colchoneta Colchón Individual Caja 8cm Memory Foam Espuma,KingsHouse,2025-04-22,318,21,Tránsito,2025-07-11,2025-07-17,TBC
P07209,2025-04-22,INTL8JW1,KHCESP12MB,Colchón Colchoneta Matrimonial En Caja Espuma Memory Foam,KingsHouse,22/04/25,270,27,Tránsito,2025-07-11,2025-07-17,TBC
P07209,2025-04-22,INTL8JW1,CLOUDUO15,Colchon 12cm de espuma MATRIMONIAL ColorDreams,ColorDreams,2025-04-22,130,33,Tránsito,2025-07-11,2025-07-17,TBC
P07209,2025-04-22,INTL8JW1,SPRINGSINGLE16,Colchon 14cm resortes INDIVIDUAL ColorDreams,ColorDreams,22/04/25,104,26,Tránsito,2025-07-11,2025-07-17,TBC
P07210,2025-04-22,INTL8JW1,CP3DREAM100,Colchon plegable en 3 partes 100cm COLORDREAMS,ColorDreams,2025-04-22,250,23,Aduana,2025-07-07,2025-07-08,TBC
P07210,2025-04-22,INTL8JW1,CP3DREAM135,Colchon plegable en 3 partes 135cm COLORDREAMS,ColorDreams,22/04/25,350,30,Aduana,2025-07-07,2025-07-08,TBC
P07210,2025-04-22,INTL8JW1,BAMBYBASIC,Colchón Cuna – 70x100x7cm STANDAR BAMBYBASIC BAMBY,Bam-bee,2025-04-22,75,11,Aduana,2025-07-07,2025-07-08,TBC
P07210,2025-04-22,INTL8JW1,BAMBYDREAM20,Colchón de Cuna - 60x120x15cm SMALL BAMBYDREAM20 BAMBY,Bam-bee,2025-04-22,83,17,Aduana,2025-07-07,2025-07-08,TBC
P07210,2025-04-22,INTL8JW1,BAMBYDREAM30,Colchón Cuna - 70x130x15cm MEDIUM BAMBYDREAM30 BAMBY,Bam-bee,22/04/25,40,20,Aduana,2025-07-07,2025-07-08,TBC
P07210,2025-04-22,INTL8JW1,BAMBYDREAM40,Colchón Cuna - 80x140x15cm LARGE BAMBYDREAM40 BAMBY,Bam-bee,2025-04-22,30,23,Aduana,2025-07-07,2025-07-08,TBC
P07210,2025-04-22,INTL8JW1,BAMBYDREAM40X,Colchón Cuna - 95x140x15cm EXTRA LARGE BAMBYDREAM40X BAMBY,Bam-bee,2025-04-22,40,27,Aduana,2025-07-07,2025-07-08,TBC
P07210,2025-04-22,INTL8JW1,BAMBYGO,Colchón Cuna De Viaje - 68x95x6cm TRIP BAMBYGO BAMBY,Bam-bee,2025-04-22,150,10,Aduana,2025-07-07,2025-07-08,TBC
P07210,2025-04-22,INTL8JW1,BAMBYMOON20,Colchón Cuna - 60x120x10cm SMALL BAMBYMOON20 BAMBY,Bam-bee,2025-04-22,40,13,Aduana,2025-07-07,2025-07-08,TBC
P07210,2025-04-22,INTL8JW1,KHSOFABEDPLI,Sofa Cama Doble Sillon Plegable Individual Colchon,KingsHouse,2025-04-22,110,30,Aduana,2025-07-07,2025-07-08,TBC
P07210,2025-04-22,INTL8JW1,KHSOFABEDPLM,Sofa Cama Doble Sillon Plegable Matrimonial Colchon,KingsHouse,2025-04-22,212,40,Aduana,2025-07-07,2025-07-08,TBC
P07211,2025-04-22,INTL8JW1,COUPLEDREAMER,Colchon en Caja Premium Matrimonial 135x190 CoupleDreamer ColorDreams,ColorDreams,2025-04-22,240,62,Aduana,2025-07-07,2025-07-05,TBC
P07211,2025-04-22,INTL8JW1,KINGDREAMER,Colchon en Caja Premium King 200x190 KingDreamer ColorDreams,ColorDreams,2025-04-22,43,89,Aduana,2025-07-07,2025-07-05,TBC
P07211,2025-04-22,INTL8JW1,DREAMERONE,Colchon en Caja Básico Individual 100x190 DreamerOne ColorDreams,ColorDreams,2025-04-22,210,31,Aduana,2025-07-07,2025-07-05,TBC
P07211,2025-04-22,INTL8JW1,DREAMERTWO,Colchon en Caja Básico Matrimonial 135x190 DreamerTwo ColorDreams,ColorDreams,2025-04-22,8,42,Aduana,2025-07-07,2025-07-05,TBC
P07211,2025-04-22,INTL8JW1,KHCESP12IB,Colchoneta Colchón Individual Caja 8cm Memory Foam Espuma,KingsHouse,2025-04-22,29,21,Aduana,2025-07-07,2025-07-05,TBC
P07212,2025-04-22,INTL8JW1,DREAMERTWO,Colchon en Caja Básico Matrimonial 135x190 DreamerTwo ColorDreams,ColorDreams,2025-04-22,524,42,Aduana,2025-07-07,2025-07-08,TBC
P07213,2025-04-22,INTL8JW1,DREAMERONE,Colchon en Caja Básico Individual 100x190 DreamerOne ColorDreams,ColorDreams,2025-04-22,90,31,Aduana,2025-07-07,2025-07-08,TBC
P07213,2025-04-22,INTL8JW1,DREAMERTWO,Colchon en Caja Básico Matrimonial 135x190 DreamerTwo ColorDreams,ColorDreams,2025-04-22,408,42,Aduana,2025-07-07,2025-07-08,TBC
P07213,2025-04-22,INTL8JW1,KHCESPIB,Colchon Individual En Caja 15cm Alto KingsHouse,KingsHouse,2025-04-22,135,26,Aduana,2025-07-07,2025-07-08,TBC
P07214,2025-04-22,INTL8JW1,KHCESPIB,Colchon Individual En Caja 15cm Alto KingsHouse,KingsHouse,2025-04-22,525,26,Aduana,2025-07-07,2025-07-09,TBC
P07214,2025-04-22,INTL8JW1,KHCESPIG,Colchon Individual En Caja 15cm Alto KingsHouse,KingsHouse,2025-04-22,220,26,Aduana,2025-07-07,2025-07-09,TBC
P07214,2025-04-22,INTL8JW1,KHCESPMG,Colchon Matrimonial En Caja 15cm Alto KingsHouse,KingsHouse,2025-04-22,176,33,Aduana,2025-07-07,2025-07-09,TBC
P07214,2025-04-22,INTL8JW1,DREAMERTWO,Colchon en Caja Básico Matrimonial 135x190 DreamerTwo ColorDreams,ColorDreams,2025-04-22,5,42,Aduana,2025-07-07,2025-07-09,TBC
P07215,2025-04-22,INTL8JW1,KHCESPMG,Colchon Matrimonial En Caja 15cm Alto KingsHouse,KingsHouse,2025-04-22,376,33,Aduana,2025-07-07,2025-07-05,TBC
P07215,2025-04-22,INTL8JW1,TOPDREAM1I,Colchoneta Cubre Colchon Topper Memory Foam 5cm Individual,ColorDreams,2025-04-22,30,15,Aduana,2025-07-07,2025-07-05,TBC
P07215,2025-04-22,INTL8JW1,TOPDREAM2M,Colchoneta Cubre Colchon Topper 5cm Matrimonial,ColorDreams,2025-04-22,100,20,Aduana,2025-07-07,2025-07-05,TBC
P07215,2025-04-22,INTL8JW1,TOPDREAM4K,Colchoneta Cubre Colchon Topper 5cm King Size,ColorDreams,2025-04-22,60,27,Aduana,2025-07-07,2025-07-05,TBC
P07215,2025-04-22,INTL8JW1,KHSPRING1B,Colchon 16cm resortes Individual Blanco,KingsHouse,2025-04-22,260,26,Aduana,2025-07-07,2025-07-05,TBC
P07216,2025-04-22,INTL8JW1,KHSPRING1B,Colchon 16cm resortes Individual Blanco,KingsHouse,2025-04-22,110,26,Aduana,2025-07-07,2025-07-09,TBC
